,ecephys_unit_id,c50_dg,area_rf,fano_dg,fano_dm,fano_fl,fano_rf,f1_f0_dg,g_dsi_dg,g_osi_dg,width_rf,height_rf,azimuth_rf,mod_idx_dg,p_value_rf,pref_tf_dg,run_mod_dg,run_mod_dm,run_mod_fl,run_mod_rf,pref_dir_dm,pref_ori_dg,run_pval_dg,run_pval_dm,run_pval_fl,run_pval_rf,elevation_rf,on_screen_rf,pref_speed_dm,firing_rate_dg,firing_rate_dm,firing_rate_fl,firing_rate_rf,on_off_ratio_fl,time_to_peak_dm,time_to_peak_fl,time_to_peak_rf,pref_tf_multi_dg,sustained_idx_fl,pref_dir_multi_dm,pref_ori_multi_dg,pref_speed_multi_dm,lifetime_sparseness_dg,lifetime_sparseness_dm,lifetime_sparseness_fl,lifetime_sparseness_rf
30111,950914759,0.6721568627450981,800.0,4.999999999999999,3.0633879781420768,1.3997740112994352,1.0153846153846156,0.6529646452949897,,,43.08085305842222,46.44268919211103,48.75,0.4960158406784298,0.0,2.0,-0.3458257160268129,-0.4823008849557522,,0.4871794871794872,270.0,90.0,0.07998618807512531,0.4260367714137564,,0.04555577223098525,-1.25,True,0.005,2.9535916065311776,5.284331394205578,2.8243022127158715,3.918880129197974,,0.0615,0.0045000000000000005,0.1205,False,0.11847389558232932,False,False,False,0.16019166513804226,0.08399764276110955,0.025307557117750342,0.1609270383047645
30112,950915722,0.0303921568627451,100.0,4.777770193401593,2.0343313373253493,1.3398198198198197,0.8222222222222223,0.44703038916082893,,,1388.5664661897222,148.20495958804918,90.0,1.1415327652476221,0.002,2.0,0.39992578849721705,-0.11564625850340142,,,225.0,0.0,6.643474334715852e-05,0.8639992904121998,,,50.0,False,0.02,6.25839109553229,8.723789261175138,5.4354495414531865,4.031819315909612,,0.1115,0.0915,0.0945,False,0.08674698795180723,False,False,False,0.1897226952532731,0.038791747708168976,0.015450643776824037,0.13437076025724234
30113,950914818,0.12879607843137258,1100.0,3.993764988009593,2.2666666666666666,0.7509034267912773,0.3555555555555556,0.16459600735056454,,,219.2371035029876,77.003756341672,71.818,0.8600407449336654,0.0,2.0,0.35815991237677985,0.621301775147929,,,180.0,135.0,4.080726388097624e-24,2.9995765500563288e-05,,,-9.090999999999994,False,0.001,11.6909991003204,7.211961830212579,4.609474366036281,5.097614359440789,,0.2955,0.2185,0.0675,False,0.10542168674698796,False,False,False,0.26006952584123005,0.029243763013344214,0.11636981559569515,0.10575125573895623
30115,950914803,0.11168235294117647,1200.0,3.0087369791666667,2.8761303890641434,0.8058382642998028,0.6461538461538461,0.19980618530123348,,,42.29181141084658,69.6242545273004,49.167,0.8362167976543603,0.0,2.0,0.2474006116207952,,,0.06293706293706287,180.0,135.0,4.868420273055599e-09,,,0.8576744817156009,-7.5,True,0.001,16.241697438210107,15.13240353795234,7.327199136762874,11.176593496618619,,0.0985,0.2465,0.07050000000000001,False,0.13413654618473894,False,False,False,0.10977025415312028,0.02620215897939149,0.09973113551272704,0.0863598936260445
30117,950914787,0.03467058823529412,700.0,4.795061728395061,1.7441441441441443,2.1333333333333333,0.652873563218391,0.8737754776985068,,,42.67154210121511,94.23226380934031,30.0,2.2021387991959296,0.0,2.0,-0.9349005424954792,,,,45.0,90.0,1.476130748411002e-14,,,,20.0,True,0.01,1.914416384666022,4.483002301959736,3.4904112251488604,3.288394378137863,,0.1405,0.006500000000000001,0.0375,False,0.14859437751004015,False,False,False,0.13784124058921193,0.07352093752912298,0.041205341855952586,0.16516761846945774
30118,950914741,,300.0,2.64377581120944,5.913725490196077,1.0066666666666668,0.8000000000000002,1.4551132670050633,,,457.01621578803525,60.86719819202527,43.333,0.8448070356026552,0.87,2.0,0.09640522875816993,-0.13333333333333336,,,135.0,90.0,0.7835808431729641,0.9054621117851628,,,-26.666999999999994,False,0.001,0.3517635911447292,2.000295038830301,0.4529541284544322,0.1271936471703875,,0.013500000000000002,0.0935,0.1075,False,0.022088353413654616,False,False,False,0.3178700991912837,0.0895780276763523,0.2899408284023668,0.680857197770517
30121,950914853,0.07745490196078432,1000.0,1.5800719942404609,1.0288557213930345,1.4666666666666666,1.9555555555555548,0.4104820455915628,,,47.0454302698285,70.34131934785489,23.0,3.6071610212086185,0.046,2.0,0.2273736450306908,0.2789855072463769,,0.4615384615384616,270.0,90.0,0.0026570354703137605,0.023169019461859616,,0.7255652865786528,22.0,False,0.005,1.6549004335371302,8.449278539398223,0.5595315704437104,0.2719312456746216,,0.1115,0.0165,0.0315,False,0.030120481927710843,False,False,False,0.7867249499470341,0.20128485337181173,0.31034482758620685,0.6550267913904276
30122,950914844,0.42400784313725504,1200.0,2.410126582278481,3.177011494252873,1.0133333333333336,0.8533333333333332,0.3439713189844791,,,62.26555915841229,55.99843724186694,28.333000000000002,0.16831049413003854,0.0,2.0,0.2011741122565864,,,,135.0,90.0,0.02543396217925912,,,,19.167,True,0.02,4.263952661695903,3.532307081688221,2.3180593632668005,2.5701888704085203,,0.1115,0.1205,0.0935,False,0.06559571619812582,False,False,False,0.34247403274294275,0.11261758494912648,0.04368053760661672,0.1923520623333396
30123,950914835,0.3042117647058824,500.0,1.6894486595852298,0.837037037037037,1.0364102564102564,0.6102564102564102,0.187673959069644,,,58.9584865026676,1921.5785794986266,86.0,1.8987775202283848,0.0,2.0,0.24169779286927004,,,-0.30851063829787234,315.0,90.0,5.342231190816357e-07,,,0.19265351192707464,8.0,False,0.005,13.590967059441773,14.082803719393553,5.408805180955868,8.34105236228567,,0.0475,0.035500000000000004,0.052500000000000005,False,0.13788487282463188,False,False,False,0.017666340947682078,0.013133142252875256,0.001212591550662001,0.05302245470150056
30125,950915868,0.0945686274509804,400.0,0.8435772357723578,0.8666666666666666,0.9599999999999996,2.2333333333333334,1.8899200066167492,,,28.386812118073887,38.63790870938581,45.0,0.5598211210017435,0.873,2.0,0.21875000000000006,,,-1.0,0.0,135.0,0.4332076294911298,,,0.2187577882684554,5.0,True,0.01,0.08502342724351274,0.032295379032578016,0.15986616298391726,0.07675478708557866,,0.1565,0.0485,0.1105,False,0.012048192771084336,True,False,False,0.5099306054079923,0.63125,0.0,0.8131139872134726
