id,waveform_PT_ratio,waveform_amplitude,amplitude_cutoff,cumulative_drift,d_prime,waveform_duration,ecephys_channel_id,firing_rate,waveform_halfwidth,isi_violations,isolation_distance,L_ratio,max_drift,nn_hit_rate,nn_miss_rate,presence_ratio,waveform_recovery_slope,waveform_repolarization_slope,silhouette_score,snr,waveform_spread,waveform_velocity_above,waveform_velocity_below,ecephys_probe_id,local_index,probe_horizontal_position,probe_vertical_position,anterior_posterior_ccf_coordinate,dorsal_ventral_ccf_coordinate,left_right_ccf_coordinate,ecephys_structure_id,ecephys_structure_acronym,ecephys_session_id,lfp_sampling_rate,name,phase,sampling_rate,has_lfp_data,date_of_acquisition,published_at,specimen_id,session_type,age_in_days,sex,genotype
951852218,0.960148068161225,91.70226,0.0167435829699214,969.89,,0.7279731993299828,850170584,9.208166931187181,0.425795644891122,0.00982722492678116,,,53.56,,0.0,0.99,-0.0117752166433206,0.0921236814133883,0.15038957087715898,2.52500174748111,40.0,-0.6867671691792301,-2.0603015075376896,769322802,89,11,900,7436,2867,7249,218.0,LP,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951852269,0.291314250003598,77.1771000000002,0.06386037092944401,340.82,5.4640686846553095,0.32964824120603003,850170588,53.65472072068461,0.16482412060301502,0.00513101533864939,316.209104867156,0.00141366722814584,27.43,0.998666666666667,0.00771604938271605,0.99,-0.0474706986620211,0.31387313029824,0.101638378596667,2.25367998615534,60.0,0.0,-0.274706867671692,769322802,91,27,920,7432,2850,7247,218.0,LP,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951853797,0.611563907060213,115.66581,0.0293724805656838,255.28,5.03388220870974,0.315912897822446,850170922,5.62853801487123,0.137353433835846,0.035866139280311,93.0202475253122,0.000147274582806594,21.4,0.9951456310679612,0.000417188151856487,0.95,-0.0523367178281242,0.37025742530430295,0.0982357638918073,3.18226095199942,30.0,0.6867671691792271,0.0,769322802,258,59,2600,6976,1393,7491,394.0,VISam,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951853831,0.22131321395069,59.650305,0.0582124891030509,247.25,3.5198447158020403,0.906532663316583,850170930,2.7776885628865404,0.16482412060301502,0.22581111420486,59.7050469476054,0.00335954513267216,42.14,0.91131498470948,0.00310093368772575,0.99,-0.0050166777501507,0.173699605105744,0.0854195071318458,1.8048971534061,80.0,2.0603015075376896,-0.206030150753768,769322802,262,59,2640,6963,1351,7511,394.0,VISam,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951853851,0.5599624040411129,99.52254,0.0108959113130246,335.02,3.6491709163833295,0.1785594639866,850170932,13.760310207559199,0.0961474036850922,0.0122020934771579,91.8162180527528,0.00058963726007243,40.26,0.982666666666667,0.000775193798449612,0.97,-0.154996062078551,0.392854157523233,0.105939353828482,2.8805195886127994,20.0,,0.0,769322802,263,27,2640,6957,1335,7519,394.0,VISam,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951853860,0.516143372158608,83.8905600000001,0.00105608777868122,120.3,3.43259813019932,0.7966499162479059,850170932,7.12762888472069,0.315912897822446,0.00894634559780902,36.3272441506468,0.100282950439873,49.06,0.992666666666667,0.00027150725312233303,0.99,-0.0228074101248448,0.125987879068142,0.0338330077763131,1.60718585176244,50.0,3.4338358458961498,-0.549413735343384,769322802,263,27,2640,6957,1335,7519,394.0,VISam,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951853870,0.7745953300166359,86.530275,0.0755719034899147,62.0,3.27736051677921,0.3571189279731989,850170936,47.93341793206739,0.23350083752093806,0.013616259978051002,146.523467224367,0.000347504066283964,31.35,0.999333333333333,0.00825900231252065,0.99,-0.0634790442009702,0.28074369831184803,0.0947531503869929,2.23658947472828,30.0,1.03015075376884,,769322802,265,11,2660,6952,1319,7527,394.0,VISam,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951853927,0.472373700668507,115.491675,0.00681634557597011,267.88,5.317419077015139,0.604355108877722,850170938,1.3319525955838,0.192294807370184,0.298885662092949,49.393456044983,0.0037558252116966094,27.91,0.811244979919679,0.000773083257705623,0.99,-0.0257314962371924,0.3581459106960089,0.11702667003770402,2.80950884571239,40.0,0.8241206030150748,,769322802,266,59,2680,6949,1310,7531,394.0,VISam,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951853957,0.439305308299531,104.44707,0.0004975361568657081,233.1,3.67909403258982,0.673031825795645,850170942,2.98787454261602,0.1785594639866,0.0127277349267507,59.5639105217953,0.0033382088359074397,39.35,0.921001926782274,0.00115328516671755,0.99,-0.0373608625698083,0.313050416038251,0.0883072015170327,2.64000531157492,40.0,0.34338358458961504,1.3735343383584602,769322802,268,43,2700,6941,1286,7544,394.0,VISam,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951853968,0.491553667566034,84.0399299999999,0.00266191984107811,201.95,3.036886197259029,0.7005025125628139,850170944,2.58205392021525,0.247236180904523,0.0624908819268002,39.2782402276481,0.0305335267492056,40.24,0.88962472406181,0.0006430432869665282,0.99,-0.0309147099683111,0.212220823393385,0.0938651031011832,2.1993597588744103,60.0,1.2361809045226102,0.0,769322802,269,11,2700,6939,1278,7548,394.0,VISam,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951853992,0.4500242469208879,253.47933,0.0013985616435569302,69.34,6.69496030065822,0.6455611390284761,850170944,1.00737693842462,0.16482412060301502,0.0373224869016149,70.955454118998,0.00012555862498358998,18.39,0.9540229885057472,0.000167638972708375,0.95,-0.13106555086560198,0.761379434472768,0.275292761426332,6.1983671536515415,50.0,1.03015075376885,0.34338358458961404,769322802,269,11,2700,6939,1278,7548,394.0,VISam,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
